# brewery: Svijany
# effective_from: 2026-05-01
# source: pivovarsvijany.cz/file/2336
#
# Transcribed from the brewery's published price list, PLATNY OD 1. KVETNA 2026.
# Printed figures only - the list rounds its per-0,5 l and per-package prices
# independently, so recomputing either would misstate a real price.
# unit_* is the list's per-0,5 l reference price wherever the list prints one; on rows
# whose sellable unit IS one container (2 l cans, jugs, 5 l soudky) it repeats the
# package price, which is the shape the seeded products already carry.
# Names are the catalogue's existing short form, without the degree suffix the list
# prints, so reading them from here is not a rename of every product.
public_id,name,type,alcohol,plato,container,volume_l,sale_unit,units,unit_novat,unit_vat,pack_novat,pack_vat
,Svijanela Mango,Lemonade,,,Can,0.5,Tray,12,21.40,25.90,256.80,310.80
,Svijanela Citrón,Lemonade,,,Can,0.5,Tray,12,21.40,25.90,256.80,310.80
,Svijanela Ananas,Lemonade,,,Can,0.5,Tray,12,21.40,25.90,256.80,310.80
,Svijanela MixClip,Lemonade,,,Can,0.5,Multipack,6,,,128.43,155.40
#
# PLECHOVKY 2L - priced za kus
,Svijanský Máz,PaleLager,4.8,11,Can,2,Single,1,119.83,145.00,119.83,145.00
,Šlik,PaleLager,4.4,11,Can,2,Single,1,123.14,149.00,123.14,149.00
,Zámek,YeastLager,4.8,11,Can,2,Single,1,128.93,156.00,128.93,156.00
,Svijany 450,PaleLagerPremium,4.6,11,Can,2,Single,1,129.75,157.00,129.75,157.00
,Svijanský Rytíř,PaleLager,5.0,12,Can,2,Single,1,123.97,150.00,123.97,150.00
,Svijanský Kníže,PaleStrong,5.6,13,Can,2,Single,1,132.20,160.00,132.20,160.00
,Svijanský Baron,PaleStrong,6.5,15,Can,2,Single,1,137.19,166.00,137.19,166.00
,Dux,PaleStrong,5.5,13,Can,2,Single,1,139.67,169.00,139.67,169.00
#
# DEKORATIVNI LAHVE, DZBANY
,Svijanský Kvasničák,PaleStrong,6.0,13,Jug,2,Single,1,404.96,490.00,404.96,490.00
,Svijanský Kvasničák,PaleStrong,6.0,13,Jug,1,Single,1,135.54,164.00,135.54,164.00
,Svijanský Fanda,UnfilteredBlendedLager,4.8,11,Jug,1,Single,1,128.10,155.00,128.10,155.00
,Pivo přímo ze sklepa lahev,OriginalCraftLager,4.9,11,Jug,1,Single,1,81.82,99.00,81.82,99.00
,Svijany 20 - výroční pivo,PaleStrong,9.5,20,Jug,1,Single,1,94.21,114.00,94.21,114.00
